Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,4.7uF,C0805,104.29,-75.64,0.0,top
C3,22uF,C1206,87.55,-85.28,0.0,top
C4,22uF,C1206,87.55,-88.61,0.0,top
C5,22uF,C1206,87.55,-91.94,0.0,top
C6,4.7uF,C0805,104.29,-78.59,0.0,top
C7,0.1uF,C0402,76.86,-103.75,0.0,top
C8,22uF,C1206,87.55,-95.27,0.0,top
D4,Schottky,SMA_L4.3-W2.6-LS5.2-RD,79.115,-96.66,0.0,top
D6,Schottky,SMA_L4.3-W2.6-LS5.2-RD,79.115,-100.67,0.0,top
H1,12V_Sensor,HDR-TH_2P-P2.54-V-M-1,93.98,-105.41,0.0,top
H2,RaspberryPI,HDR-TH_2P-P2.54-V-M-1,95.225,-93.425,0.0,top
J1,USB_C_Receptacle_PowerOnly_6P,TYPE-C-SMD_TYPE-C-6P,138.555,-91.6,90.0,top
J2,USB_A,USB-A-TH_AF-WJDG,93.085,-71.75,0.0,top
L1,22uF,IND-SMD_L7.5-W7.5,79.915,-72.62,0.0,top
L2,22uF,IND-SMD_L7.5-W7.5,79.915,-81.37,0.0,top
LED1,Blue,LED0805-R-RD,87.26,-98.58,0.0,top
LED2,Red,LED1206-R-RD_RED,102.8,-94.48,0.0,top
LED3,Green,LED0805-R-RD,87.26,-101.89,0.0,top
R1,5.1k,R0603,103.39,-97.93,0.0,top
R10,4.7k,R0805,73.08,-84.69,0.0,top
R11,470,R0805,73.08,-87.68,0.0,top
R2,5.1k,R0603,103.39,-100.4,0.0,top
R3,22k,R0805,73.08,-69.74,0.0,top
R4,3k,R0603,103.39,-102.87,0.0,top
R6,470,R0805,73.08,-72.73,0.0,top
R7,470,R0805,73.08,-75.72,0.0,top
R8,10k,R0805,73.08,-78.71,0.0,top
R9,91k,R0805,73.08,-81.7,0.0,top
RPROG1,1k,R1206,104.64,-81.72,0.0,top
RPROG3,10k,R0805,73.08,-90.67,0.0,top
U2,MT3608,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,102.34,-86.015,0.0,top
U3,MT3608,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,102.34,-90.64,0.0,top
U4,MCP73871,QFN-20_L4.0-W4.0-P0.5-BL-EP,104.495,-70.985,0.0,top
U5,Battery Input,CONN-TH_S2B-PH-K-S-GW,79.04,-92.685,0.0,top
