pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
104.29,-75.64,0.0,top,C2,,,C0805,4.7uF,smt
87.55,-85.28,0.0,top,C3,,,C1206,22uF,smt
87.55,-88.61,0.0,top,C4,,,C1206,22uF,smt
87.55,-91.94,0.0,top,C5,,,C1206,22uF,smt
104.29,-78.59,0.0,top,C6,,,C0805,4.7uF,smt
76.86,-103.75,0.0,top,C7,,,C0402,0.1uF,smt
87.55,-95.27,0.0,top,C8,,,C1206,22uF,smt
79.115,-96.66,0.0,top,D4,,,SMA_L4.3-W2.6-LS5.2-RD,Schottky,smt
79.115,-100.67,0.0,top,D6,,,SMA_L4.3-W2.6-LS5.2-RD,Schottky,smt
93.98,-105.41,0.0,top,H1,,,HDR-TH_2P-P2.54-V-M-1,12V_Sensor,tht
95.225,-93.425,0.0,top,H2,,,HDR-TH_2P-P2.54-V-M-1,RaspberryPI,tht
138.43,-91.6,90.0,top,J1,,,TYPE-C-SMD_TYPE-C-6P,USB_C_Receptacle_PowerOnly_6P,smt
93.085,-71.33,0.0,top,J2,,,USB-A-TH_AF-WJDG,USB_A,tht
79.915,-72.62,0.0,top,L1,,,IND-SMD_L7.5-W7.5,22uF,tht
79.915,-81.37,0.0,top,L2,,,IND-SMD_L7.5-W7.5,22uF,tht
87.26,-98.58,0.0,top,LED1,,,LED0805-R-RD,Blue,smt
102.8,-94.48,0.0,top,LED2,,,LED1206-R-RD_RED,Red,smt
87.26,-101.89,0.0,top,LED3,,,LED0805-R-RD,Green,smt
103.39,-97.93,0.0,top,R1,,,R0603,5.1k,smt
73.08,-84.69,0.0,top,R10,,,R0805,4.7k,smt
73.08,-87.68,0.0,top,R11,,,R0805,470,smt
103.39,-100.4,0.0,top,R2,,,R0603,5.1k,smt
73.08,-69.74,0.0,top,R3,,,R0805,22k,smt
103.39,-102.87,0.0,top,R4,,,R0603,3k,smt
73.08,-72.73,0.0,top,R6,,,R0805,470,smt
73.08,-75.72,0.0,top,R7,,,R0805,470,smt
73.08,-78.71,0.0,top,R8,,,R0805,10k,smt
73.08,-81.7,0.0,top,R9,,,R0805,91k,smt
104.64,-81.72,0.0,top,RPROG1,,,R1206,1k,smt
73.08,-90.67,0.0,top,RPROG3,,,R0805,10k,smt
102.34,-86.015,0.0,top,U2,,,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,MT3608,smt
102.34,-90.64,0.0,top,U3,,,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,MT3608,smt
104.495,-70.985,0.0,top,U4,,,QFN-20_L4.0-W4.0-P0.5-BL-EP,MCP73871,smt
79.04,-92.685,0.0,top,U5,,,CONN-TH_S2B-PH-K-S-GW,Battery Input,tht
